Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4342135405,10/25/2018,CA,VOLK,701 FIGUEROA ST S,80.66.1D,RESTRICTED TAXI ZONE,68.0,34.04938700025321,-118.2598490008671,2018,Downtown,Low Income
4327834324,03/01/2018,CA,HOND,472 WITMER ST S,80.69B,NO PARKING,73.0,34.05646118387673,-118.26506212844664,2018,Westlake,Extremely Low Income
4334705981,06/25/2018,UT,HOND,3101 BARRINGTON AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.021283002337185,-118.43754354758396,2018,Mar Vista,Moderate Income
4345709196,12/24/2018,CA,DODG,2712 COUNCIL ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.07142285878331,-118.27693012294179,2018,Temple-Beaudry,Very Low Income
4328607043,03/19/2018,CA,HOND,6538 BARTON AVE W,80.69BS,NO PARK/STREET CLEAN,73.0,34.087721662096,-118.33375206077996,2018,Melrose,Very Low Income
4326440591,02/01/2018,CA,OTHR,5450 TUJUNGA AVE,80.69C,PARKED OVER TIME LIMIT,58.0,34.16971938216506,-118.37897100482634,2018,North Hollywood,Very Low Income
4337433203,08/17/2018,CA,VOLK,1502 WEST 228TH STREET,80.56E4+,RED ZONE,93.0,33.81902291365608,-118.30372538980788,2018,Harbor Gateway,Very Low Income
4324879635,01/22/2018,CA,CHRY,101 SOUTH WESTLAKE AVENUE,80.69BS,NO PARK/STREET CLEAN,73.0,34.06602600084456,-118.26885999921389,2018,Historic Filipinotown,Very Low Income
4326307915,02/23/2018,CA,TOYT,1611 BELOIT AVE,88.63B+,OFF STR/OVERTIME/MTR,58.0,34.04757062970998,-118.4479707769033,2018,West Los Angeles,Low Income
4343926882,11/29/2018,CA,FORD,6736 WHITSETT AVE,80.56E1,WHITE ZONE,58.0,34.19279399974824,-118.40524937162553,2018,North Hollywood,Very Low Income
4342014596,10/24/2018,CA,TOYT,715 SYCAMORE AVE N,80.58L,PREFERENTIAL PARKING,68.0,34.0617946775965,-118.34301536673551,2018,Hancock Park,Above Moderate Income
4328701775,04/20/2018,CA,JEEP,12900 BRENTWOOD TER,5204A-,DISPLAY OF TABS,25.0,34.04744499739699,-118.48603699782049,2018,Brentwood,Low Income
4333525582,05/31/2018,CA,LEXS,4635 VISTA DEL MONTE AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.15508424394913,-118.44985251788988,2018,Sherman Oaks,Above Moderate Income
4330320282,04/12/2018,CA,VOLK,1287 CITRUS AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.05054219712603,-118.34353900419082,2018,Mid-city,Low Income
4328542466,03/13/2018,CA,CADI,3601 CAHUENGA BL,88.13B+,METER EXP.,63.0,34.13515400313989,-118.36138200631774,2018,Hollywood Hills,Above Moderate Income
4337167671,08/16/2018,CA,HOND,21011 ROSCOE BLVD,80.56E4+,RED ZONE,93.0,34.21989324385248,-118.59093766465026,2018,Canoga Park,Low Income
4331169371,04/26/2018,CA,BMW,710 8TH ST E,88.13B+,METER EXP.,63.0,34.046631020799104,-118.25913479563528,2018,Downtown,Above Moderate Income
4338561043,08/14/2018,CA,HOND,14930 RAYEN ST,80.58L,PREFERENTIAL PARKING,68.0,34.231836672526114,-118.45795550747341,2018,Panorama City,Very Low Income
4342817172,10/30/2018,CA,DODG,2538 BURNSIDE AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.03303524102134,-118.36004633069048,2018,Alsace,Very Low Income
4325531453,02/08/2018,CA,TOYT,300 BOYD ST,5200,DISPLAY OF PLATES,25.0,34.04719400038279,-118.24423599926537,2018,Little Tokyo,Very Low Income
4329320645,03/27/2018,CA,TOYT,3807 2ND ST W,80.56E4+,RED ZONE,93.0,34.01804951134247,-118.31929263506665,2018,Leimert Park,Very Low Income
4323041310,02/14/2018,CA,TOYT,2059 YOSEMITE DR,80.69BS,NO PARK/STREET CLEAN,73.0,34.13463266141325,-118.21278660610072,2018,Eagle Rock,Low Income
