tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037199700,38892,1204,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2347,10410497.46,13808.46324
6037199801,41027,903,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2348,3724106.854,9459.391827
6037199802,42500,612,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2349,3296128.605,8868.744225
6037199900,37232,845,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2350,4782360.923,10141.72802
6037201110,65000,782,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2351,10992458.06,15893.38364
6037201120,78750,1233,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2352,8477293.326,13504.91777
6037201200,49500,776,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2353,4612278.714,10208.95052
6037201301,66658,1117,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2354,9414202.778,18595.38854
6037201302,102654,1899,Above Moderate Income,No,No,No,District 1,Los Angeles - Highland Park,SPA 4 - Metro,2355,10671943.71,14894.76655
6037201401,53050,1273,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2356,14162701.11,15449.76247
6037201402,54137,1519,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2357,20831565.22,18870.58277
6037201501,69153,1536,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2358,9520485.641,14185.08924
6037201503,50344,1025,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2359,4712856.253,9121.14428
6037201504,59167,640,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2360,3937450.052,9476.656464
6037201601,47465,759,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2361,5989464.779,10928.04197
6037201602,65625,796,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2362,11481095.91,18567.40448
6037201700,64844,1469,Low Income,Yes,No,Yes,District 1,Los Angeles - University Hills,SPA 4 - Metro,2363,18289606.43,20636.56683
6037203100,39329,1248,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2364,7129819.722,11829.9124
6037203200,57031,1348,Very Low Income,Yes,No,Yes,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2365,5493896.245,10209.55033
6037203300,41250,433,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2366,15937496.74,15581.48376
